id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Electronics and Information Technology,,moeait,16549.04,165490400000.0,1946945882.3529413
1,Ministry of Electronics and Information Technology,Ministry of Electronics and Information Technology,moeait,moeait_moeait,16549.04,165490400000.0,1946945882.3529413
2,Ministry of Electronics and Information Technology,CENTRE'S EXPENDITURE,moeait_moeait,moeait_moeait_cse,16549.04,165490400000.0,1946945882.3529413
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moeait_moeait_cse,moeait_moeait_cse_cssp,12440.28,124402800000.0,1463562352.9411764
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moeait_moeait_cse,moeait_moeait_cse_eeotc,2040.76,20407600000.0,240089411.7647059
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moeait_moeait_cse,moeait_moeait_cse_ocse,2068.0,20680000000.0,243294117.6470588
6,Central Sector Schemes/Projects,DIGITAL INDIA Program,moeait_moeait_cse_cssp,moeait_moeait_cse_cssp_dip,4795.24,47952400000.0,564145882.3529412
7,Central Sector Schemes/Projects,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,moeait_moeait_cse_cssp,moeait_moeait_cse_cssp_mpfdosadmeii,3000.0,30000000000.0,352941176.4705882
8,Central Sector Schemes/Projects,Production Linked Incentive Scheme (PLI),moeait_moeait_cse_cssp,moeait_moeait_cse_cssp_plisp,4645.04,46450400000.0,546475294.117647
9,DIGITAL INDIA Program,Capacity Building and Skill Development Scheme,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_cbasds,537.5,5375000000.0,63235294.11764706
10,DIGITAL INDIA Program,Cyber Security Projects,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_csp,400.0,4000000000.0,47058823.52941176
11,DIGITAL INDIA Program,Electronic Governance,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_eg,555.74,5557400000.0,65381176.47058824
12,DIGITAL INDIA Program,National Knowledge Network,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_nkn,352.0,3520000000.0,41411764.705882356
13,DIGITAL INDIA Program,Promotion of Digital payment,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_podp,1500.0,15000000000.0,176470588.2352941
14,DIGITAL INDIA Program,"Promotion of Electronics and IT HW Manufacturing  (MSIPS, EDF and Manufacturing Clusters)",moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_poeaihmmeamc,700.0,7000000000.0,82352941.1764706
15,DIGITAL INDIA Program,Promotion of IT/ITeS Industries,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_poiii,150.0,1500000000.0,17647058.82352941
16,DIGITAL INDIA Program,R and D in IT/Electronics/CCBT,moeait_moeait_cse_cssp_dip,moeait_moeait_cse_cssp_dip_radiiec,600.0,6000000000.0,70588235.29411764
17,Electronic Governance,EAP Component,moeait_moeait_cse_cssp_dip_eg,moeait_moeait_cse_cssp_dip_eg_ec,25.0,250000000.0,2941176.470588235
18,Electronic Governance,Program Component,moeait_moeait_cse_cssp_dip_eg,moeait_moeait_cse_cssp_dip_eg_pc,530.74,5307400000.0,62440000.0
19,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,Design Linked Incentive Scheme,moeait_moeait_cse_cssp_mpfdosadmeii,moeait_moeait_cse_cssp_mpfdosadmeii_dlis,200.0,2000000000.0,23529411.76470588
20,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,"Modified Scheme for setting up of Compound Semiconducors/Silicon Photonics/Sensors Fab/Discrete Semiconductors Fab and Semiconductor Assembly, Testing, Marking and Packaging (ATMP)/Outsourced Semiconductor Assembly and Test (OSAT) facilities in India",moeait_moeait_cse_cssp_mpfdosadmeii,moeait_moeait_cse_cssp_mpfdosadmeii_msfsuocsspsfdsfasatmapaosaatofii,1799.92,17999200000.0,211755294.11764705
21,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,Modified Scheme for Setting up of Semiconductor Fabs in India,moeait_moeait_cse_cssp_mpfdosadmeii,moeait_moeait_cse_cssp_mpfdosadmeii_msfsuosfii,1000.0,10000000000.0,117647058.8235294
22,Production Linked Incentive Scheme (PLI),Production Linked Incentive for IT Hardware,moeait_moeait_cse_cssp_plisp,moeait_moeait_cse_cssp_plisp_plifih,146.0,1460000000.0,17176470.588235293
23,Production Linked Incentive Scheme (PLI),Production linked Incentive for Large Scale Electronics Manufacturing,moeait_moeait_cse_cssp_plisp,moeait_moeait_cse_cssp_plisp_pliflsem,4499.04,44990400000.0,529298823.5294118
24,Establishment Expenditure of the Centre,National Informatics Centre,moeait_moeait_cse_eeotc,moeait_moeait_cse_eeotc_nic,1527.26,15272600000.0,179677647.05882353
25,Establishment Expenditure of the Centre,Regulatory Authorities,moeait_moeait_cse_eeotc,moeait_moeait_cse_eeotc_ra,373.5,3735000000.0,43941176.47058824
26,Establishment Expenditure of the Centre,Secretariat,moeait_moeait_cse_eeotc,moeait_moeait_cse_eeotc_s,140.0,1400000000.0,16470588.235294119
27,Regulatory Authorities,Controller of Certifying Authorities (CCA),moeait_moeait_cse_eeotc_ra,moeait_moeait_cse_eeotc_ra_cocac,13.0,130000000.0,1529411.7647058824
28,Regulatory Authorities,Cyber Security (CERT-In),moeait_moeait_cse_eeotc_ra,moeait_moeait_cse_eeotc_ra_csci,225.0,2250000000.0,26470588.23529412
29,Regulatory Authorities,Standardization Testing and Quality Certification (STQC),moeait_moeait_cse_eeotc_ra,moeait_moeait_cse_eeotc_ra_staqcs,135.5,1355000000.0,15941176.470588235
30,Other Central Sector Expenditure,Autonomous Bodies,moeait_moeait_cse_ocse,moeait_moeait_cse_ocse_ab,2057.0,20570000000.0,242000000.0
31,Other Central Sector Expenditure,Others,moeait_moeait_cse_ocse,moeait_moeait_cse_ocse_o,11.0,110000000.0,1294117.6470588236
32,Autonomous Bodies,Bhaskaracharya National Institute for Space Applications and Geo-Information,moeait_moeait_cse_ocse_ab,moeait_moeait_cse_ocse_ab_bnifsaagi,44.0,440000000.0,5176470.588235294
33,Autonomous Bodies,Centre for Development of Advanced Computing (C-DAC),moeait_moeait_cse_ocse_ab,moeait_moeait_cse_ocse_ab_cfdoaccd,270.0,2700000000.0,31764705.88235294
34,Autonomous Bodies,Centre for Materials for Electronics and Information Technology (C-MET),moeait_moeait_cse_ocse_ab,moeait_moeait_cse_ocse_ab_cfmfeaitcm,110.0,1100000000.0,12941176.470588235
35,Autonomous Bodies,Semi Conductor Laboratory (SCL),moeait_moeait_cse_ocse_ab,moeait_moeait_cse_ocse_ab_scls,533.0,5330000000.0,62705882.35294118
36,Autonomous Bodies,Society for Applied Microwave Electronics Engineering and Research (SAMEER),moeait_moeait_cse_ocse_ab,moeait_moeait_cse_ocse_ab_sfameears,160.0,1600000000.0,18823529.411764707
37,Autonomous Bodies,Unique Identification Authority of India (UIDAI),moeait_moeait_cse_ocse_ab,moeait_moeait_cse_ocse_ab_uiaoiu,940.0,9400000000.0,110588235.29411764
38,Others,Digital India Corporation erstwhile Media Lab Asia,moeait_moeait_cse_ocse_o,moeait_moeait_cse_ocse_o_dicemla,11.0,110000000.0,1294117.6470588236
